City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Cholet,FR,2022-01-28 01:23:32,47.1667,-1.0,41.32,92,100,4.59
229,Cochrane,CA,2022-01-28 01:22:06,51.1834,-114.4687,42.04,29,0,5.75
230,Narsaq,GL,2022-01-28 01:20:23,60.9167,-46.05,14.22,89,14,6.53
231,Thunder Bay,CA,2022-01-28 01:23:33,48.4001,-89.3168,4.55,59,0,6.91
232,Ukiah,US,2022-01-28 01:20:03,39.1502,-123.2078,60.64,44,0,3.44
233,Vao,NC,2022-01-28 01:23:35,-22.6667,167.4833,79.16,84,100,16.17
234,Pangai,TO,2022-01-28 01:23:36,-19.8,-174.35,83.73,77,100,17.18
235,Phitsanulok,TH,2022-01-28 01:23:37,16.9167,100.5,68.11,46,14,2.19
236,Severo-Kurilsk,RU,2022-01-28 01:21:36,50.6789,156.125,24.78,77,97,37.96
237,Bayan,CN,2022-01-28 01:23:38,46.0833,127.4,-1.25,92,93,8.9
238,Alappuzha,IN,2022-01-28 01:23:39,9.49,76.3264,74.79,80,76,5.82
239,Beringovskiy,RU,2022-01-28 01:23:39,63.05,179.3167,4.42,94,100,3.0
240,Bansang,GM,2022-01-28 01:23:40,13.4333,-14.65,75.65,18,5,5.64
241,Chateaubelair,VC,2022-01-28 01:23:41,13.2833,-61.25,74.28,79,18,9.6
242,Isangel,VU,2022-01-28 01:23:41,-19.55,169.2667,87.91,74,75,8.05
243,Te Anau,NZ,2022-01-28 01:23:42,-45.4167,167.7167,72.1,36,99,2.08
244,Georgetown,MY,2022-01-28 01:23:17,5.4112,100.3354,82.33,85,20,4.61
245,Marsa Matruh,EG,2022-01-28 01:23:45,31.3525,27.2453,46.6,76,75,11.5
246,Luderitz,NA,2022-01-28 01:23:46,-26.6481,15.1594,66.87,75,0,22.84
247,Port Angeles,US,2022-01-28 01:21:31,48.1181,-123.4307,44.29,86,0,0.0
248,Kavaratti,IN,2022-01-28 01:23:47,10.5669,72.642,79.02,72,57,10.42
249,Mersin,TR,2022-01-28 01:23:48,36.862,34.6509,36.75,54,15,4.21
